AUTHOR ID,LAST NAME,FIRST NAME,PUBLISHER,TITLE COUNT
213-46-8915,Green,Marjorie,Algodata Infosystems,2
238-95-7766,Carson,Cheryl,Algodata Infosystems,1
267-41-2394,O'Leary,Michael,Algodata Infosystems,2
274-80-9391,Straight,Dean,Algodata Infosystems,1
409-56-7008,Bennet,Abraham,Algodata Infosystems,1
427-17-2319,Dull,Ann,Algodata Infosystems,1
486-29-1786,Locksley,Charlene,Algodata Infosystems,1
724-80-9391,MacFeather,Stearns,Algodata Infosystems,1
846-92-7186,Hunter,Sheryl,Algodata Infosystems,2
267-41-2394,O'Leary,Michael,Binnet & Hardley,2
472-27-2349,Gringlesby,Burt,Binnet & Hardley,3
648-92-1872,Blotchet-Halls,Reginald,Binnet & Hardley,1
672-71-3249,Yokomoto,Akiko,Binnet & Hardley,1
712-45-1867,del Castillo,Innes,Binnet & Hardley,1
722-51-5454,DeFrance,Michel,Binnet & Hardley,1
724-80-9391,MacFeather,Stearns,Binnet & Hardley,2
756-30-7391,Karsen,Livia,Binnet & Hardley,1
807-91-6654,Panteley,Sylvia,Binnet & Hardley,1
899-46-2035,Ringer,Anne,Binnet & Hardley,2
172-32-1176,White,Johnson,New Moon Books,1
213-46-8915,Green,Marjorie,New Moon Books,1
486-29-1786,Locksley,Charlene,New Moon Books,1
899-46-2035,Ringer,Anne,New Moon Books,2
998-72-3567,Ringer,Albert,New Moon Books,2
